VERSIONS,DATASET,THREADS,NUM_GENERATIONS,POP_SIZE,NUM_PARENTS
-p,small,-1,10,16,3
-p,small,4,20,32,5
-p,full,-1,20,16,5
-s,full,4,10,32,3
-s,small,-1,10,16,5
-s,small,16,20,32,3
-p,small,4,20,32,5
-p,small,-1,20,32,5
-s,full,16,20,32,5
-s,full,-1,10,16,5
-s,full,4,10,32,5
-p,small,4,10,16,3
-p,full,16,10,16,5
-p,full,16,10,16,5
-p,small,16,20,16,3
-s,small,-1,10,16,5
-s,small,-1,20,32,3
-s,small,-1,10,16,5
-s,small,16,20,16,3
-p,full,16,10,16,3
-s,small,4,20,32,5
-s,full,16,10,32,3
-p,full,4,20,32,3
-p,full,-1,20,32,3
-p,full,4,20,32,3
